loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6457,0.24509164690971375,0.0,0.018779342723004695,1,,,,,,,,,
0.6656,0.21194739639759064,1e-05,0.03755868544600939,2,,,,,,,,,
0.6226,0.2324848771095276,2e-05,0.056338028169014086,3,,,,,,,,,
0.675,0.2249411791563034,3e-05,0.07511737089201878,4,,,,,,,,,
0.6676,0.2185315489768982,4e-05,0.09389671361502347,5,,,,,,,,,
0.6261,0.18121083080768585,5e-05,0.11267605633802817,6,,,,,,,,,
0.6656,0.1913457065820694,4.9994995093571314e-05,0.13145539906103287,7,,,,,,,,,
0.6605,0.1935151368379593,4.997998237821233e-05,0.15023474178403756,8,,,,,,,,,
0.6298,0.1872212141752243,4.995496786490189e-05,0.16901408450704225,9,,,,,,,,,
0.5834,0.17462362349033356,4.991996156926387e-05,0.18779342723004694,10,,,,,,,,,
0.6199,0.1605028659105301,4.987497750755702e-05,0.20657276995305165,11,,,,,,,,,
0.5957,0.16892755031585693,4.982003369106287e-05,0.22535211267605634,12,,,,,,,,,
0.6334,0.18182748556137085,4.9755152118874294e-05,0.24413145539906103,13,,,,,,,,,
0.5633,0.18778569996356964,4.9680358769087076e-05,0.26291079812206575,14,,,,,,,,,
0.6041,0.17458000779151917,4.959568358839861e-05,0.28169014084507044,15,,,,,,,,,
0.5432,0.17515429854393005,4.950116048011739e-05,0.3004694835680751,16,,,,,,,,,
0.5391,0.19465677440166473,4.939682729058839e-05,0.3192488262910798,17,,,,,,,,,
0.5319,0.18490813672542572,4.928272579403969e-05,0.3380281690140845,18,,,,,,,,,
0.6167,0.17990373075008392,4.9158901675856395e-05,0.3568075117370892,19,,,,,,,,,
0.6337,0.16629302501678467,4.902540451428849e-05,0.3755868544600939,20,,,,,,,,,
,,,0.3755868544600939,20,0.5381011962890625,10.7073,28.018,3.549,,,,,
0.5797,0.17537720501422882,4.888228776060016e-05,0.39436619718309857,21,,,,,,,,,
0.539,0.18510869145393372,4.8729608717668265e-05,0.4131455399061033,22,,,,,,,,,
0.5137,0.18008413910865784,4.856742851703866e-05,0.431924882629108,23,,,,,,,,,
0.503,0.19468188285827637,4.839581209444966e-05,0.4507042253521127,24,,,,,,,,,
0.5775,0.18766812980175018,4.821482816383218e-05,0.4694835680751174,25,,,,,,,,,
0.5273,0.16787968575954437,4.8024549189797276e-05,0.48826291079812206,26,,,,,,,,,
0.483,0.17951184511184692,4.782505135862176e-05,0.5070422535211268,27,,,,,,,,,
0.501,0.1593695729970932,4.761641454774386e-05,0.5258215962441315,28,,,,,,,,,
0.4642,0.1696968823671341,4.739872229378085e-05,0.5446009389671361,29,,,,,,,,,
0.506,0.1679074764251709,4.717206175908164e-05,0.5633802816901409,30,,,,,,,,,
0.5086,0.1751413345336914,4.6936523696827615e-05,0.5821596244131455,31,,,,,,,,,
0.5071,0.17417755722999573,4.669220241469573e-05,0.6009389671361502,32,,,,,,,,,
0.4618,0.1778957098722458,4.643919573709843e-05,0.6197183098591549,33,,,,,,,,,
0.4853,0.16070900857448578,4.61776049660155e-05,0.6384976525821596,34,,,,,,,,,
0.4671,0.17255307734012604,4.590753484043348e-05,0.6572769953051644,35,,,,,,,,,
0.4997,0.16669216752052307,4.562909349440899e-05,0.676056338028169,36,,,,,,,,,
0.4579,0.17717579007148743,4.534239241377266e-05,0.6948356807511737,37,,,,,,,,,
0.4351,0.16083064675331116,4.5047546391491e-05,0.7136150234741784,38,,,,,,,,,
0.4858,0.17341336607933044,4.474467348170421e-05,0.7323943661971831,39,,,,,,,,,
0.4575,0.16518151760101318,4.4433894952458156e-05,0.7511737089201878,40,,,,,,,,,
,,,0.7511737089201878,40,0.46129825711250305,10.7161,27.995,3.546,,,,,
