run,max_len,lora_r,lora_alpha,trainable_parameters,train_truncation_rate,eval_loss,best_eval_loss,train_minutes,max_gpu_gib,base_greedy_accuracy,adapter_greedy_accuracy,adapter_minus_base,adapter_format_rate,adapter_reflection_rate,base_sc_n10,adapter_sc_n10
len512_r16_a32,512,16,32,29933568,0.8805882352941177,0.30128470063209534,0.30128470063209534,6.410134581724803,7.395642280578613,0.72,0.3,-0.42,0.32,0.36,0.91,0.53
len1024_r8_a16,1024,8,16,14966784,0.15,0.324096143245697,0.324096143245697,12.316753486792246,11.348651885986328,0.72,0.29,-0.43,0.31,0.32,0.91,0.5
len1024_r16_a32,1024,16,32,29933568,0.15,0.3141767382621765,0.3141767382621765,12.32861487865448,11.452163696289062,0.72,0.26,-0.46,0.27,0.28,0.91,0.52
