run,max_len,lora_r,lora_alpha,trainable_parameters,train_truncation_rate,eval_loss,best_eval_loss,train_minutes,max_gpu_gib,base_greedy_accuracy,adapter_greedy_accuracy,adapter_minus_base,adapter_format_rate,adapter_reflection_rate,base_sc_best,adapter_sc_best
qwen15_len1024_r8_a16_lr2e5_e3_es,1024,8,16,9232384,0.15,0.45581939816474915,0.45581939816474915,9.234625216325124,56.271918296813965,0.0,0.5666666666666667,0.5666666666666667,0.8,0.8,0.0,0.5666666666666667
qwen15_len1024_r8_a16_lr5e5_e3_es,1024,8,16,9232384,0.15,0.4017582833766937,0.4017582833766937,9.222644996643066,56.271918296813965,0.0,0.6333333333333333,0.6333333333333333,0.9,0.9,0.0,0.6333333333333333
qwen15_len1024_r16_a32_lr5e5_e3_es,1024,16,32,18464768,0.15,0.3831900656223297,0.3831900656223297,9.238208238283793,56.376097679138184,0.0,0.5333333333333333,0.5333333333333333,0.8,0.8333333333333334,0.0,0.5333333333333333
