run,rank,alpha,lr,epochs,train_batch,grad_accum,effective_batch,trainable_params_m,truncation_rate,eval_loss,best_eval_loss,train_minutes,max_gpu_gib,strict_accuracy_30,loose_accuracy_30,format_rate_30,reflection_rate_30,mean_latency_s_30
qwen15_len1024_r8_a16_lr5e5_e3_es,8,16,5e-05,3.0,8,4,32,9.232384,0.15,0.4017582833766937,0.4017582833766937,9.222644996643066,56.271918296813965,0.6333333333333333,0.6333333333333333,0.9,0.9,15.379716388384502
qwen15_len1024_r8_a16_lr2e5_e3_es,8,16,2e-05,3.0,8,4,32,9.232384,0.15,0.45581939816474915,0.45581939816474915,9.234625216325124,56.271918296813965,0.5666666666666667,0.6333333333333333,0.8,0.8,17.379045645395916
qwen15_len1024_r16_a32_lr5e5_e3_es,16,32,5e-05,3.0,8,4,32,18.464768,0.15,0.3831900656223297,0.3831900656223297,9.238208238283793,56.376097679138184,0.5333333333333333,0.5666666666666667,0.8,0.8333333333333334,16.472944394747415
